Customer_ID,Recency,Frequency,Monetary,Avg_Order_Value,Total_Profit,Segment,PCA1,PCA2
CUST00001,33,13,11840.03,910.7715384615384,4144.01,0,-0.1704042866514681,-0.7305660800492982
CUST00002,52,6,9185.05,1530.8416666666665,3214.77,1,-1.8720460635235219,-1.0676908509669394
CUST00003,45,10,10418.25,1041.825,3646.4,1,-0.9536763654329234,-0.8490388758270906
CUST00004,167,14,18872.18,1348.0128571428572,6605.26,0,0.30385567972017,1.299810532049941
CUST00005,74,10,7634.95,763.495,2672.22,1,-1.4428760694189788,-0.6946255835245859
CUST00006,24,19,18996.19,999.7994736842104,6648.650000000001,2,1.8812263123768878,-0.04888885420973214
CUST00007,37,14,17403.69,1243.1207142857145,6091.3,0,0.7073678087346399,-0.2769363952826393
CUST00008,9,10,13383.93,1338.393,4684.39,1,-0.40919978643755756,-1.071770071326468
CUST00009,67,11,14827.29,1347.9354545454546,5189.55,0,-0.3060257343367353,-0.26322469924826375
CUST00010,97,16,18007.65,1125.478125,6302.67,0,0.8757873003046374,0.5562698954547061
CUST00011,82,17,15739.75,925.8676470588236,5508.889999999999,0,0.8351376802822545,0.2963121277595587
CUST00012,51,11,10091.26,917.3872727272728,3531.9500000000003,1,-0.8408928027988368,-0.746226684549647
CUST00013,138,11,13151.11,1195.5554545454545,4602.89,1,-0.8444054897546551,0.440730139921607
CUST00014,16,14,10588.91,756.3507142857143,3706.11,0,-0.07147494943629633,-0.9488544354333881
CUST00015,174,8,5768.129999999999,721.0162499999999,2018.83,1,-2.501894667267599,0.21803583377910624
CUST00016,27,14,17400.59,1242.8992857142855,6090.21,0,0.7525044149459065,-0.39125618552136454
CUST00017,72,13,7987.269999999999,614.4053846153846,2795.54,1,-0.8423703026706105,-0.5298651497707354
CUST00018,6,16,16773.56,1048.3475,5870.75,0,1.1317932369431294,-0.5605287947429279
CUST00019,91,12,11890.48,990.8733333333332,4161.67,1,-0.6100932808720287,-0.12053090641433334
CUST00020,44,13,10762.8,827.9076923076923,3766.98,1,-0.3587210759155129,-0.6733589749743715
CUST00021,31,15,11401.86,760.124,3990.64,0,0.14660349036375134,-0.6710253567630766
CUST00022,28,14,21778.26,1555.59,7622.38,2,1.3096887190784574,-0.10216960253267149
CUST00023,70,12,9734.06,811.1716666666666,3406.92,1,-0.7911804669424426,-0.4969705986737589
CUST00024,46,15,8558.539999999999,570.5693333333332,2995.49,0,-0.2865497605744755,-0.6801915361393699
CUST00025,25,15,10212.44,680.8293333333334,3574.35,0,0.02129907622282889,-0.8149437979431702
CUST00026,45,14,16975.44,1212.5314285714285,5941.41,0,0.6159877294150704,-0.2128016350541587
CUST00027,2,21,20044.26,954.4885714285714,7015.48,2,2.4800155420592116,-0.12332269935231603
CUST00028,32,19,25665.56,1350.818947368421,8982.960000000001,2,2.700604934328176,0.46544576853697667
CUST00029,46,10,6131.7300000000005,613.173,2146.09,1,-1.508271281935451,-1.1095192105984077
CUST00030,5,19,24860.94,1308.4705263157894,8701.32,2,2.720299857041922,0.10627644129285398
CUST00031,114,19,21606.03,1137.1594736842103,7562.09,2,1.806308524493682,1.1437609212611928
CUST00032,15,11,13027.59,1184.3263636363636,4559.65,1,-0.30018238314734963,-0.9708195415587855
CUST00033,105,13,13721.44,1055.4953846153846,4802.5,0,-0.25683149107918646,0.21045791890910176
CUST00034,101,9,12693.92,1410.4355555555555,4442.86,1,-1.098720726180268,-0.12068331083999126
CUST00035,41,13,16566.86,1274.3738461538462,5798.4,0,0.3997097638566187,-0.33944617448048275
CUST00036,35,14,8424.51,601.7507142857143,2948.57,1,-0.4357236992760769,-0.8693076638952866
